"","pop","fun","family","temp","rep","date","stage","num","count","per","per_arc","fail","fail_arc","per_arc_pi","per_log"
"2273","FF","pev_cerato","Cerato","GC",2273,"D124",1,348,82,23.5632183908046,0.506843035930793,76.4367816091954,1.0639532908641,29.039966834432,3.20125013666456
"2274","FF","pev_cerato","Cerato","GC",2274,"D124",1,236,137,58.0508474576271,0.866258643720623,41.9491525423729,0.704537683074273,49.6329642519186,4.07839889406667
"2275","FF","pev_cerato","Cerato","GC",2275,"D124",1,313,81,25.8785942492013,0.533685849488984,74.1214057507987,1.03711047730591,30.5779467615728,3.29133021701066
"2276","FF","pev_cerato","Cerato","GC",2276,"D124",1,262,38,14.5038167938931,0.390703256058459,85.4961832061069,1.18009307073644,22.3856476141688,2.74108623837923
"2277","FF","pev_cerato","Cerato","GC",2277,"D124",1,325,72,22.1538461538462,0.490059883301221,77.8461538461538,1.08073644349368,28.0783630218336,3.14216090728734
"2278","FF","pev_cerato","Cerato","GC",2278,"D124",1,337,41,12.1661721068249,0.356290814395188,87.8338278931751,1.21450551239971,20.4139599441232,2.57765082102655
"2279","FF","pev_cerato","Cerato","GC",2279,"D124",1,303,63,20.7920792079208,0.47347677512133,79.2079207920792,1.09731955167357,27.128220911917,3.0815465646852
"2280","FF","pev_cerato","Cerato","GC",2280,"D124",1,344,23,6.68604651162791,0.261545610255913,93.3139534883721,1.30925071653898,14.9854596178373,2.03940654359818
"2281","FF","Control","Control","RT",2281,"D124",1,173,54,31.2138728323699,0.592810003751311,68.7861271676301,0.977986323043586,33.9655112680846,3.47239719307176
"2282","FF","Control","Control","RT",2282,"D124",1,138,0,0,0,100,1.5707963267949,0,0
"2283","FF","Control","Control","RT",2283,"D124",1,226,54,23.8938053097345,0.510728488851916,76.1061946902655,1.06006783794298,29.2625868883091,3.21461898977752
"2284","FF","Control","Control","RT",2284,"D124",1,205,56,27.3170731707317,0.549964982183115,72.6829268292683,1.02083134461178,31.51067235908,3.34346491499358
"2285","FF","Control","Control","RT",2285,"D124",1,242,78,32.2314049586777,0.603742208841234,67.7685950413223,0.967054117953663,34.5918804805086,3.50349536130053
"2286","FF","Control","Control","RT",2286,"D124",1,95,0,0,0,100,1.5707963267949,0,0
"2287","FF","Control","Control","RT",2287,"D124",1,284,80,28.169014084507,0.559479220049725,71.830985915493,1.01131710674517,32.0557980341203,3.37310698435427
"2288","FF","Control","Control","RT",2288,"D124",1,228,50,21.9298245614035,0.487357751964176,78.0701754385965,1.08343857483072,27.9235423005309,3.13243844578967
"2289","FF","Control","Control","RT",2289,"D124",1,130,34,26.1538461538462,0.53682282645947,73.8461538461538,1.03397350033543,30.7576823024115,3.30151869947176
"2290","FF","Control","Control","RT",2290,"D124",1,298,43,14.4295302013423,0.389647341569937,85.5704697986577,1.18114898522496,22.3251481704498,2.73628321881772
"2291","FF","Control","Control","GC",2291,"D124",1,198,0,0,0,100,1.5707963267949,0,0
"2292","FF","Control","Control","GC",2292,"D124",1,364,167,45.8791208791209,0.744142576135618,54.1208791208791,0.826653750659279,42.6362289685635,3.84757239251445
"2293","FF","Control","Control","GC",2293,"D124",1,570,0,0,0,100,1.5707963267949,0,0
"2294","FF","Control","Control","GC",2294,"D124",1,461,0,0,0,100,1.5707963267949,0,0
"2295","FF","Control","Control","GC",2295,"D124",1,520,236,45.3846153846154,0.739178520721647,54.6153846153846,0.83161780607325,42.3518095440738,3.83696783926565
"2296","FF","Control","Control","GC",2296,"D124",1,0,0,0,0,100,1.5707963267949,0,0
"2297","FF","Control","Control","GC",2297,"D124",1,0,0,0,0,100,1.5707963267949,0,0
"2298","FF","Control","Control","GC",2298,"D124",1,342,65,19.0058479532164,0.451101341433785,80.9941520467836,1.11969498536111,25.8462029968458,2.99602462847494
"2299","FF","Control","Control","GC",2299,"D124",1,0,0,0,0,100,1.5707963267949,0,0
"2300","FF","Control","Control","GC",2300,"D124",1,0,0,0,0,100,1.5707963267949,0,0
"2301","MX","pev_tul","Tul","RT",2301,"D124",1,0,0,0,0,100,1.5707963267949,0,0
"2302","MX","pev_tul","Tul","RT",2302,"D124",1,201,78,38.8059701492537,0.672500999861026,61.1940298507463,0.898295326933871,38.5314690103647,3.68401690479105
"2303","MX","pev_tul","Tul","RT",2303,"D124",1,191,72,37.696335078534,0.661084720809815,62.303664921466,0.909711605985081,37.8773644029868,3.65574489473826
"2304","MX","pev_tul","Tul","RT",2304,"D124",1,165,49,29.6969696969697,0.576328599578952,70.3030303030303,0.994467727215944,33.0211963685592,3.4241639427822
"2305","MX","pev_tul","Tul","RT",2305,"D124",1,78,45,57.6923076923077,0.86262796263954,42.3076923076923,0.708168364155356,49.4249415492145,4.07230867382292
"2306","MX","pev_tul","Tul","RT",2306,"D124",1,106,61,57.5471698113208,0.861159430375717,42.4528301886792,0.70963689641918,49.3408008484186,4.06983275089626
"2307","MX","pev_tul","Tul","RT",2307,"D124",1,64,34,53.125,0.816668544295694,46.875,0.754127782499203,46.791660849236,3.99129618632265
"2308","MX","pev_tul","Tul","RT",2308,"D124",1,97,59,60.8247422680412,0.894509528031911,39.1752577319588,0.676286798762985,51.2516206904677,4.12430364466513
"2309","MX","pev_tul","Tul","RT",2309,"D124",1,62,42,67.741935483871,0.966768936013433,32.258064516129,0.604027390781464,55.3917797979228,4.23035942761347
"2310","MX","pev_tul","Tul","RT",2310,"D124",1,44,27,61.3636363636364,0.900036265004438,38.6363636363636,0.670760061790458,51.5682793934724,4.13298235492752
"2311","MX","pev_tul","Tul","GC",2311,"D124",1,167,30,17.9640718562874,0.437681262152057,82.0359281437126,1.13311506464284,25.0772890932718,2.94254623412188
"2312","MX","pev_tul","Tul","GC",2312,"D124",1,237,42,17.7215189873418,0.434513705372996,82.2784810126582,1.1362826214219,24.8958014584636,2.92967361024378
"2313","MX","pev_tul","Tul","GC",2313,"D124",1,116,0,0,0,100,1.5707963267949,0,0
"2314","MX","pev_tul","Tul","GC",2314,"D124",1,181,56,30.939226519337,0.589842817335265,69.060773480663,0.980953509459631,33.7955040094167,3.46383492581665
"2315","MX","pev_tul","Tul","GC",2315,"D124",1,230,71,30.8695652173913,0.589089069088077,69.1304347826087,0.98170725770682,33.7523174160374,3.4616514859575
"2316","MX","pev_tul","Tul","GC",2316,"D124",1,70,6,8.57142857142857,0.297122516347102,91.4285714285714,1.27367381044779,17.0238661849958,2.25878247033565
"2317","MX","pev_tul","Tul","GC",2317,"D124",1,0,0,0,0,100,1.5707963267949,0,0
"2318","MX","pev_tul","Tul","GC",2318,"D124",1,124,24,19.3548387096774,0.455533356978361,80.6451612903226,1.11526296981654,26.1001387822864,3.01331865805607
"2319","MX","pev_tul","Tul","GC",2319,"D124",1,103,14,13.5922330097087,0.377584776616373,86.4077669902913,1.19321155017852,21.6340141085081,2.68048940152334
"2320","MX","pev_tul","Tul","GC",2320,"D124",1,74,8,10.8108108108108,0.335030500397385,89.1891891891892,1.23576582639751,19.1958336809262,2.46901528245137
"2321","MX","pff_tul","Tul","RT",2321,"D124",1,179,93,51.9553072625698,0.804956223177656,48.0446927374302,0.76584010361724,46.1205942808705,3.96944829861229
"2322","MX","pff_tul","Tul","RT",2322,"D124",1,0,0,0,0,100,1.5707963267949,0,0
"2323","MX","pff_tul","Tul","RT",2323,"D124",1,254,93,36.6141732283465,0.649887026210847,63.3858267716535,0.92090930058405,37.2357837621894,3.62738092693137
"2324","MX","pff_tul","Tul","RT",2324,"D124",1,0,0,0,0,100,1.5707963267949,0,0
"2325","MX","pff_tul","Tul","RT",2325,"D124",1,0,0,0,0,100,1.5707963267949,0,0
"2326","MX","pff_tul","Tul","RT",2326,"D124",1,109,88,80.7339449541284,1.11638757092591,19.2660550458716,0.454408755868984,63.9642961149167,4.4034693984915
"2327","MX","pff_tul","Tul","RT",2327,"D124",1,78,54,69.2307692307692,0.982793723247329,30.7692307692308,0.588002603547568,56.3099324740202,4.25178652313343
"2328","MX","pff_tul","Tul","RT",2328,"D124",1,109,65,59.6330275229358,0.882334550808168,40.3669724770642,0.688461775986729,50.5540458798793,4.10483975324131
"2329","MX","pff_tul","Tul","RT",2329,"D124",1,104,67,64.4230769230769,0.931708006069575,35.5769230769231,0.639088320725322,53.382936486336,4.18087505437438
"2330","MX","pff_tul","Tul","RT",2330,"D124",1,111,78,70.2702702702703,0.994109299061408,29.7297297297297,0.576687027733489,56.9582672109272,4.26647927370906
"2331","MX","pff_tul","Tul","GC",2331,"D124",1,0,0,0,0,100,1.5707963267949,0,0
"2332","MX","pff_tul","Tul","GC",2332,"D124",1,0,0,0,0,100,1.5707963267949,0,0
"2333","MX","pff_tul","Tul","GC",2333,"D124",1,175,47,26.8571428571429,0.544790319550511,73.1428571428571,1.02600600724439,31.2141860298277,3.32708940950843
