"","pop","fun","family","temp","rep","date","stage","num","count","per","fail","prop","success","ffun","ftemp","fpop","Failure","E1","Success","PRes2","PER","PERT"
"2478","FF","pev_cerato","Cerato","GC",2478,"D124",2,337,128,37.98219585,62.01780415,0.379821958,0.379821958456973,"pev_cerato","GC","FF",209,0.0176400333681077,0.379821958456973,0.307534318850012,0.3798219585,0.380512636899425
"2479","FF","pev_cerato","Cerato","GC",2479,"D124",2,303,85,28.05280528,71.94719472,0.280528053,0.280528052805281,"pev_cerato","GC","FF",218,-0.186614331970927,0.280528052805281,-0.527068668946044,0.2805280528,0.281789385829885
"2480","FF","pev_cerato","Cerato","GC",2480,"D124",2,344,169,49.12790698,50.87209302,0.49127907,0.491279069767442,"pev_cerato","GC","FF",175,0.246914945766922,0.491279069767442,1.24641694781292,0.4912790698,0.491329190088506
"2481","FF","Control","Control","RT",2481,"D124",2,173,1,0.578034682,99.42196532,0.005780347,0.00578034682080925,"Control","RT","FF",172,-0.190653592613017,0.00578034682080925,-1.014735853379,0.00578034682,0.00862068965436782
"2482","FF","Control","Control","RT",2482,"D124",2,138,0,0,100,0,0,"Control","RT","FF",138,-0.216952458759177,0,-1.38818537650151,0,0.0028735632183908
"2483","FF","Control","Control","RT",2483,"D124",2,226,3,1.327433628,98.67256637,0.013274336,0.0132743362831858,"Control","RT","FF",223,-0.15655815996054,0.0132743362831858,-0.406130279319126,0.01327433628,0.0160716102094253
"2484","FF","Control","Control","RT",2484,"D124",2,205,8,3.902439024,96.09756098,0.03902439,0.0390243902439024,"Control","RT","FF",197,-0.0394030404775131,0.0390243902439024,1.96517300484806,0.03902439024,0.0416736753535632
"2485","FF","Control","Control","RT",2485,"D124",2,242,4,1.652892562,98.34710744,0.016528926,0.0165289256198347,"Control","RT","FF",238,-0.141750742329952,0.0165289256198347,-0.10015855335249,0.01652892562,0.0193074950129885
"2486","FF","Control","Control","RT",2486,"D124",2,95,0,0,100,0,0,"Control","RT","FF",95,-0.216952458759177,0,-1.1934980122357,0,0.0028735632183908
"2487","FF","Control","Control","RT",2487,"D124",2,284,12,4.225352113,95.77464789,0.042253521,0.0422535211267606,"Control","RT","FF",272,-0.0247114512547508,0.0422535211267606,2.52123010347788,0.04225352113,0.0448842480200575
