,pop,fun,family,temp,rep,date,stage,num,count,count,total_count,per_old,per,per_arc,fail,fail_arc,per_arc_pi,per_log,ffun,ftemp,fpop,success_old,Failure_old,PRes2,PER,PERT,E1,PER.01,PER.01.flip,Success_old,success1_old
53,FF,pff_cerato,Cerato,GC,2253,D124,1,204,35,135,170,17.15686275,0.833333333,0.427072953,82.84313725,1.143723374,24.46947774,2.899048602,pff_cerato,GC,FF,0.171568627,169,-0.110246414,0.171568628,0.173456164,-0.862606414,1,0,0.171568627,35
54,FF,pff_cerato,Cerato,GC,2254,D124,1,188,51,108,159,27.12765957,0.845744681,0.547837236,72.87234043,1.022959091,31.38876148,3.336753419,pff_cerato,GC,FF,0.271276596,137,1.346239778,0.271276596,0.272591098,2.619017466,1,0,0.271276596,51
55,FF,pff_cerato,Cerato,GC,2255,D124,1,223,58,53,111,26.00896861,0.497757848,0.535173035,73.99103139,1.035623292,30.6631562,3.296168982,pff_cerato,GC,FF,0.260089686,165,1.198259445,0.260089686,0.261468481,2.431190295,1,0,0.260089686,58
56,FF,pff_cerato,Cerato,GC,2256,D124,1,161,22,81,103,13.66459627,0.639751553,0.378639359,86.33540373,1.192156968,21.69443721,2.685436172,pff_cerato,GC,FF,0.136645963,139,-0.611171664,0.136645963,0.138734204,-1.883611149,1,0,0.136645963,22
57,FF,pff_cerato,Cerato,GC,2257,D124,1,124,32,67,99,25.80645161,0.798387097,0.532861869,74.19354839,1.037934458,30.53073613,3.28864259,pff_cerato,GC,FF,0.258064516,92,1.107886261,0.258064516,0.25945495,1.756053202,1,0,0.258064516,32
58,FF,pff_cerato,Cerato,GC,2258,D124,1,147,26,86,112,17.68707483,0.761904762,0.434062517,82.31292517,1.13673381,24.86995028,2.927832099,pff_cerato,GC,FF,0.176870748,121,-0.031426221,0.176870748,0.178727813,-0.570155551,1,0,0.176870748,26
59,FF,pff_cerato,Cerato,GC,2259,D124,1,124,13,74,87,10.48387097,0.701612903,0.329730505,89.51612903,1.241065822,18.89216631,2.440943526,pff_cerato,GC,FF,0.10483871,111,-1.041118614,0.10483871,0.107109752,-2.546126489,1,0,0.10483871,13
60,FF,pff_cerato,Cerato,GC,2260,D124,1,143,16,87,103,11.18881119,0.72027972,0.341071226,88.81118881,1.229725101,19.54194177,2.500518415,pff_cerato,GC,FF,0.111888112,127,-0.956786892,0.111888112,0.11411864,-2.521690826,1,0,0.111888112,16
61,FF,pev_cerato,Cerato,RT,2261,D124,1,153,67,18,85,43.79084967,0.555555556,0.723145953,56.20915033,0.847650374,41.43321105,3.80200387,pev_cerato,RT,FF,0.437908497,86,0.30849868,0.437908497,0.438265344,1.679795162,1,0,0.437908497,67
62,FF,pev_cerato,Cerato,RT,2262,D124,1,170,71,13,84,41.76470588,0.494117647,0.702668257,58.23529412,0.86812807,40.2599255,3.755713133,pev_cerato,RT,FF,0.417647059,99,0.16737519,0.417647059,0.418120352,1.224170354,1,0,0.417647059,71
